"1963 , 155 , NA , NA"
"2004 , 33 , NA , NA"
"2005 , 33 , NA , NA"
"2006 , 33 , NA , NA"
"2007 , 33 , NA , NA"
"2008 , 33 , NA , NA"
"2009 , 33 , NA , NA"
"2010 , 33 , NA , NA"
"2011 , 33 , NA , NA"
"2012 , 33 , NA , NA"
"2013 , 33 , NA , NA"
"2014 , 33 , NA , NA"
"2015 , 33 , NA , NA"
"2016 , 33 , NA , NA"
"1963 , 301 , NA , NA"
"1964 , 301 , NA , NA"
"1965 , 301 , NA , NA"
"1966 , 301 , NA , NA"
"1967 , 301 , NA , NA"
"1968 , 301 , NA , NA"
"1969 , 301 , NA , NA"
"1970 , 301 , NA , NA"
"1971 , 301 , NA , NA"
"1972 , 301 , NA , NA"
"1973 , 301 , NA , NA"
"1974 , 301 , NA , NA"
"1975 , 301 , NA , NA"
"1976 , 301 , NA , NA"
"1977 , 301 , NA , NA"
"1978 , 301 , NA , NA"
"1979 , 301 , NA , NA"
"1980 , 301 , NA , NA"
"1981 , 301 , NA , NA"
"1982 , 301 , NA , NA"
"1983 , 301 , NA , NA"
"1984 , 301 , NA , NA"
"1985 , 301 , NA , NA"
"1986 , 301 , NA , NA"
"1987 , 301 , NA , NA"
"1988 , 301 , NA , NA"
"1989 , 301 , NA , NA"
"1990 , 301 , NA , NA"
"1991 , 301 , NA , NA"
"1992 , 301 , NA , NA"
"1993 , 301 , NA , NA"
"1994 , 301 , NA , NA"
"1995 , 301 , NA , NA"
"1996 , 301 , NA , NA"
"1997 , 301 , NA , NA"
"1998 , 301 , NA , NA"
"1999 , 301 , NA , NA"
"2000 , 301 , NA , NA"
"2001 , 301 , NA , NA"
"2002 , 301 , NA , NA"
"2003 , 301 , NA , NA"
"2004 , 301 , NA , NA"
"2005 , 301 , NA , NA"
"2006 , 301 , NA , NA"
"2007 , 301 , NA , NA"
"2008 , 301 , NA , NA"
"2009 , 301 , NA , NA"
"2010 , 301 , NA , NA"
"2011 , 301 , NA , NA"
"2012 , 301 , NA , NA"
"2013 , 301 , NA , NA"
"2014 , 301 , NA , NA"
"2015 , 301 , NA , NA"
"2016 , 301 , NA , NA"
"1963 , 102 , NA , NA"
"1964 , 102 , NA , NA"
"1965 , 102 , NA , NA"
"1966 , 102 , NA , NA"
"1967 , 102 , NA , NA"
"1968 , 102 , NA , NA"
"1969 , 102 , NA , NA"
"1970 , 102 , NA , NA"
"1971 , 102 , NA , NA"
"1972 , 102 , NA , NA"
"1973 , 102 , NA , NA"
"1974 , 102 , NA , NA"
"1975 , 102 , NA , NA"
"1976 , 102 , NA , NA"
"1977 , 102 , NA , NA"
"1978 , 102 , NA , NA"
"1979 , 102 , NA , NA"
"1980 , 102 , NA , NA"
"1981 , 102 , NA , NA"
"1982 , 102 , NA , NA"
"1983 , 102 , NA , NA"
"1984 , 102 , NA , NA"
"1985 , 102 , NA , NA"
"1986 , 102 , NA , NA"
"1987 , 102 , NA , NA"
"1988 , 102 , NA , NA"
"1989 , 102 , NA , NA"
"1990 , 102 , NA , NA"
"1991 , 102 , NA , NA"
"1992 , 102 , NA , NA"
"1993 , 102 , NA , NA"
"1994 , 102 , NA , NA"
"1995 , 102 , NA , NA"
"1996 , 102 , NA , NA"
"1997 , 102 , NA , NA"
"1998 , 102 , NA , NA"
"1999 , 102 , NA , NA"
"2000 , 102 , NA , NA"
"2001 , 102 , NA , NA"
"2002 , 102 , NA , NA"
"2003 , 102 , NA , NA"
"2004 , 102 , NA , NA"
"2005 , 102 , NA , NA"
"2006 , 102 , NA , NA"
"2007 , 102 , NA , NA"
"2008 , 102 , NA , NA"
"2009 , 102 , NA , NA"
"2010 , 102 , NA , NA"
"2011 , 102 , NA , NA"
"2012 , 102 , NA , NA"
"2013 , 102 , NA , NA"
"2014 , 102 , NA , NA"
"2015 , 102 , NA , NA"
"2016 , 102 , NA , NA"
"1963 , 35 , NA , NA"
"1964 , 35 , NA , NA"
"1965 , 35 , NA , NA"
"1966 , 35 , NA , NA"
"1967 , 35 , NA , NA"
"1968 , 35 , NA , NA"
"1969 , 35 , NA , NA"
"1970 , 35 , NA , NA"
"1971 , 35 , NA , NA"
"1972 , 35 , NA , NA"
"1973 , 35 , NA , NA"
"1974 , 35 , NA , NA"
"1975 , 35 , NA , NA"
"1976 , 35 , NA , NA"
"1977 , 35 , NA , NA"
"1978 , 35 , NA , NA"
"1979 , 35 , NA , NA"
"1980 , 35 , NA , NA"
"1981 , 35 , NA , NA"
"1982 , 35 , NA , NA"
"1983 , 35 , NA , NA"
"1984 , 35 , NA , NA"
"1985 , 35 , NA , NA"
"1986 , 35 , NA , NA"
"1987 , 35 , NA , NA"
"1988 , 35 , NA , NA"
"1989 , 35 , NA , NA"
"1990 , 35 , NA , NA"
"1991 , 35 , NA , NA"
"1992 , 35 , NA , NA"
"1993 , 35 , NA , NA"
"1994 , 35 , NA , NA"
"1995 , 35 , NA , NA"
"1996 , 35 , NA , NA"
"1997 , 35 , NA , NA"
"1998 , 35 , NA , NA"
"1999 , 35 , NA , NA"
"2000 , 35 , NA , NA"
"2001 , 35 , NA , NA"
"2002 , 35 , NA , NA"
"2003 , 35 , NA , NA"
"2004 , 35 , NA , NA"
"2005 , 35 , NA , NA"
"2006 , 35 , NA , NA"
"2007 , 35 , NA , NA"
"2008 , 35 , NA , NA"
"2009 , 35 , NA , NA"
"2010 , 35 , NA , NA"
"2011 , 35 , NA , NA"
"2012 , 35 , NA , NA"
"2013 , 35 , NA , NA"
"2014 , 35 , NA , NA"
"2015 , 35 , NA , NA"
"2016 , 35 , NA , NA"
"1963 , 73 , NA , NA"
"1964 , 73 , NA , NA"
"1965 , 73 , NA , NA"
"1966 , 73 , NA , NA"
"1967 , 73 , NA , NA"
"1968 , 73 , NA , NA"
"1969 , 73 , NA , NA"
"1970 , 73 , NA , NA"
"1971 , 73 , NA , NA"
"1972 , 73 , NA , NA"
"1973 , 73 , NA , NA"
"1974 , 73 , NA , NA"
"1975 , 73 , NA , NA"
"1976 , 73 , NA , NA"
"1977 , 73 , NA , NA"
"1978 , 73 , NA , NA"
"1979 , 73 , NA , NA"
"1980 , 73 , NA , NA"
"1981 , 73 , NA , NA"
"1982 , 73 , NA , NA"
"1983 , 73 , NA , NA"
"1984 , 73 , NA , NA"
"1985 , 73 , NA , NA"
"1986 , 73 , NA , NA"
"1987 , 73 , NA , NA"
"1988 , 73 , NA , NA"
"1989 , 73 , NA , NA"
"1990 , 73 , NA , NA"
"1991 , 73 , NA , NA"
"1992 , 73 , NA , NA"
"1993 , 73 , NA , NA"
"1994 , 73 , NA , NA"
"1995 , 73 , NA , NA"
"1996 , 73 , NA , NA"
"1997 , 73 , NA , NA"
"1998 , 73 , NA , NA"
"1999 , 73 , NA , NA"
"2000 , 73 , NA , NA"
"2001 , 73 , NA , NA"
"2002 , 73 , NA , NA"
"2003 , 73 , NA , NA"
"2004 , 73 , NA , NA"
"2005 , 73 , NA , NA"
"2006 , 73 , NA , NA"
"2007 , 73 , NA , NA"
"2008 , 73 , NA , NA"
"2009 , 73 , NA , NA"
"2010 , 73 , NA , NA"
"2011 , 73 , NA , NA"
"2012 , 73 , NA , NA"
"2013 , 73 , NA , NA"
"2014 , 73 , NA , NA"
"2015 , 73 , NA , NA"
"2016 , 73 , NA , NA"
"1963 , 32 , NA , NA"
"1964 , 32 , NA , NA"
"1965 , 32 , NA , NA"
"1966 , 32 , NA , NA"
"1967 , 32 , NA , NA"
"1968 , 32 , NA , NA"
"1969 , 32 , NA , NA"
"1970 , 32 , NA , NA"
"1971 , 32 , NA , NA"
"1972 , 32 , NA , NA"
"1973 , 32 , NA , NA"
"1974 , 32 , NA , NA"
"1975 , 32 , NA , NA"
"1976 , 32 , NA , NA"
"1977 , 32 , NA , NA"
"1978 , 32 , NA , NA"
"1979 , 32 , NA , NA"
"1980 , 32 , NA , NA"
"1981 , 32 , NA , NA"
"1982 , 32 , NA , NA"
"1983 , 32 , NA , NA"
"1984 , 32 , NA , NA"
"1985 , 32 , NA , NA"
"1986 , 32 , NA , NA"
"1987 , 32 , NA , NA"
"1988 , 32 , NA , NA"
"1989 , 32 , NA , NA"
"1990 , 32 , NA , NA"
"1991 , 32 , NA , NA"
"1992 , 32 , NA , NA"
"1993 , 32 , NA , NA"
"1994 , 32 , NA , NA"
"1995 , 32 , NA , NA"
"1996 , 32 , NA , NA"
"1997 , 32 , NA , NA"
"1998 , 32 , NA , NA"
"1999 , 32 , NA , NA"
"2000 , 32 , NA , NA"
"2001 , 32 , NA , NA"
"2002 , 32 , NA , NA"
"2003 , 32 , NA , NA"
"2004 , 32 , NA , NA"
"2005 , 32 , NA , NA"
"2006 , 32 , NA , NA"
"2007 , 32 , NA , NA"
"2008 , 32 , NA , NA"
"2009 , 32 , NA , NA"
"2010 , 32 , NA , NA"
"2011 , 32 , NA , NA"
"2012 , 32 , NA , NA"
"2013 , 32 , NA , NA"
"2014 , 32 , NA , NA"
"2015 , 32 , NA , NA"
"2016 , 32 , NA , NA"
"1963 , 121 , NA , NA"
"1964 , 121 , NA , NA"
"1965 , 121 , NA , NA"
"1966 , 121 , NA , NA"
"1967 , 121 , NA , NA"
"1968 , 121 , NA , NA"
"1969 , 121 , NA , NA"
"1970 , 121 , NA , NA"
"1971 , 121 , NA , NA"
"1972 , 121 , NA , NA"
"1973 , 121 , NA , NA"
"1974 , 121 , NA , NA"
"1975 , 121 , NA , NA"
"1976 , 121 , NA , NA"
"1977 , 121 , NA , NA"
"1978 , 121 , NA , NA"
"1979 , 121 , NA , NA"
"1980 , 121 , NA , NA"
"1981 , 121 , NA , NA"
"1982 , 121 , NA , NA"
"1983 , 121 , NA , NA"
"1984 , 121 , NA , NA"
"1985 , 121 , NA , NA"
"1986 , 121 , NA , NA"
"1987 , 121 , NA , NA"
"1988 , 121 , NA , NA"
"1989 , 121 , NA , NA"
"1990 , 121 , NA , NA"
"1991 , 121 , NA , NA"
"1992 , 121 , NA , NA"
"1993 , 121 , NA , NA"
"1994 , 121 , NA , NA"
"1995 , 121 , NA , NA"
"1996 , 121 , NA , NA"
"1997 , 121 , NA , NA"
"1998 , 121 , NA , NA"
"1999 , 121 , NA , NA"
"2000 , 121 , NA , NA"
"2001 , 121 , NA , NA"
"2002 , 121 , NA , NA"
"2003 , 121 , NA , NA"
"2004 , 121 , NA , NA"
"2005 , 121 , NA , NA"
"2006 , 121 , NA , NA"
"2007 , 121 , NA , NA"
"2008 , 121 , NA , NA"
"2009 , 121 , NA , NA"
"2010 , 121 , NA , NA"
"2011 , 121 , NA , NA"
"2012 , 121 , NA , NA"
"2013 , 121 , NA , NA"
"2014 , 121 , NA , NA"
"2015 , 121 , NA , NA"
"2016 , 121 , NA , NA"
"1963 , 22 , NA , NA"
"1964 , 22 , NA , NA"
"1965 , 22 , NA , NA"
"1966 , 22 , NA , NA"
"1967 , 22 , NA , NA"
"1968 , 22 , NA , NA"
"1969 , 22 , NA , NA"
"1970 , 22 , NA , NA"
"1971 , 22 , NA , NA"
"1972 , 22 , NA , NA"
"1973 , 22 , NA , NA"
"1974 , 22 , NA , NA"
"1975 , 22 , NA , NA"
"1976 , 22 , NA , NA"
"1977 , 22 , NA , NA"
"1978 , 22 , NA , NA"
"1979 , 22 , NA , NA"
"1980 , 22 , NA , NA"
"1981 , 22 , NA , NA"
"1982 , 22 , NA , NA"
"1983 , 22 , NA , NA"
"1984 , 22 , NA , NA"
"1985 , 22 , NA , NA"
"1986 , 22 , NA , NA"
"1987 , 22 , NA , NA"
"1988 , 22 , NA , NA"
"1989 , 22 , NA , NA"
"1990 , 22 , NA , NA"
"1991 , 22 , NA , NA"
"1992 , 22 , NA , NA"
"1993 , 22 , NA , NA"
"1994 , 22 , NA , NA"
"1995 , 22 , NA , NA"
"1996 , 22 , NA , NA"
"1997 , 22 , NA , NA"
"1998 , 22 , NA , NA"
"1999 , 22 , NA , NA"
"2000 , 22 , NA , NA"
"2001 , 22 , NA , NA"
"2002 , 22 , NA , NA"
"2003 , 22 , NA , NA"
"2004 , 22 , NA , NA"
"2005 , 22 , NA , NA"
"2006 , 22 , NA , NA"
"2007 , 22 , NA , NA"
"2008 , 22 , NA , NA"
"2009 , 22 , NA , NA"
"2010 , 22 , NA , NA"
"2011 , 22 , NA , NA"
"2012 , 22 , NA , NA"
"2013 , 22 , NA , NA"
"2014 , 22 , NA , NA"
"2015 , 22 , NA , NA"
"2016 , 22 , NA , NA"
"1963 , 141 , NA , NA"
"1964 , 141 , NA , NA"
"1965 , 141 , NA , NA"
"1966 , 141 , NA , NA"
"1967 , 141 , NA , NA"
"1968 , 141 , NA , NA"
"1969 , 141 , NA , NA"
"1970 , 141 , NA , NA"
"1971 , 141 , NA , NA"
"1972 , 141 , NA , NA"
"1973 , 141 , NA , NA"
"1974 , 141 , NA , NA"
"1975 , 141 , NA , NA"
"1976 , 141 , NA , NA"
"1977 , 141 , NA , NA"
"1978 , 141 , NA , NA"
"1979 , 141 , NA , NA"
"1980 , 141 , NA , NA"
"1981 , 141 , NA , NA"
"1982 , 141 , NA , NA"
"1983 , 141 , NA , NA"
"1984 , 141 , NA , NA"
"1985 , 141 , NA , NA"
"1986 , 141 , NA , NA"
"1987 , 141 , NA , NA"
"1988 , 141 , NA , NA"
"1989 , 141 , NA , NA"
"1990 , 141 , NA , NA"
"1991 , 141 , NA , NA"
"1992 , 141 , NA , NA"
"1993 , 141 , NA , NA"
"1994 , 141 , NA , NA"
"1995 , 141 , NA , NA"
"1996 , 141 , NA , NA"
"1997 , 141 , NA , NA"
"1998 , 141 , NA , NA"
"1999 , 141 , NA , NA"
"2000 , 141 , NA , NA"
"2001 , 141 , NA , NA"
"2002 , 141 , NA , NA"
"2003 , 141 , NA , NA"
"2004 , 141 , NA , NA"
"2005 , 141 , NA , NA"
"2006 , 141 , NA , NA"
"2007 , 141 , NA , NA"
"2008 , 141 , NA , NA"
"2009 , 141 , NA , NA"
"2010 , 141 , NA , NA"
"2011 , 141 , NA , NA"
"2012 , 141 , NA , NA"
"2013 , 141 , NA , NA"
"2014 , 141 , NA , NA"
"2015 , 141 , NA , NA"
"2016 , 141 , NA , NA"
"1963 , 156 , NA , NA"
"1964 , 156 , NA , NA"
"1965 , 156 , NA , NA"
"1966 , 156 , NA , NA"
"1967 , 156 , NA , NA"
"1968 , 156 , NA , NA"
"1969 , 156 , NA , NA"
"1970 , 156 , NA , NA"
"1971 , 156 , NA , NA"
"1972 , 156 , NA , NA"
"1973 , 156 , NA , NA"
"1974 , 156 , NA , NA"
"1975 , 156 , NA , NA"
"1976 , 156 , NA , NA"
"1977 , 156 , NA , NA"
"1978 , 156 , NA , NA"
"1979 , 156 , NA , NA"
"1980 , 156 , NA , NA"
"1981 , 156 , NA , NA"
"1982 , 156 , NA , NA"
"1983 , 156 , NA , NA"
"1984 , 156 , NA , NA"
"1985 , 156 , NA , NA"
"1986 , 156 , NA , NA"
"1987 , 156 , NA , NA"
"1988 , 156 , NA , NA"
"1989 , 156 , NA , NA"
"1990 , 156 , NA , NA"
"1991 , 156 , NA , NA"
"1992 , 156 , NA , NA"
"1993 , 156 , NA , NA"
"1994 , 156 , NA , NA"
"1995 , 156 , NA , NA"
"1996 , 156 , NA , NA"
"1997 , 156 , NA , NA"
"1998 , 156 , NA , NA"
"1999 , 156 , NA , NA"
"2000 , 156 , NA , NA"
"2001 , 156 , NA , NA"
"2002 , 156 , NA , NA"
"2003 , 156 , NA , NA"
"2004 , 156 , NA , NA"
"2005 , 156 , NA , NA"
"2006 , 156 , NA , NA"
"2007 , 156 , NA , NA"
"2008 , 156 , NA , NA"
"2009 , 156 , NA , NA"
"2010 , 156 , NA , NA"
"2011 , 156 , NA , NA"
"2012 , 156 , NA , NA"
"2013 , 156 , NA , NA"
"2014 , 156 , NA , NA"
"2015 , 156 , NA , NA"
"2016 , 156 , NA , NA"
"1963 , 34 , NA , NA"
"1964 , 34 , NA , NA"
"1965 , 34 , NA , NA"
"1966 , 34 , NA , NA"
"1967 , 34 , NA , NA"
"1968 , 34 , NA , NA"
"1969 , 34 , NA , NA"
"1970 , 34 , NA , NA"
"1971 , 34 , NA , NA"
"1972 , 34 , NA , NA"
"1973 , 34 , NA , NA"
"1974 , 34 , NA , NA"
"1975 , 34 , NA , NA"
"1976 , 34 , NA , NA"
"1977 , 34 , NA , NA"
"1978 , 34 , NA , NA"
"1979 , 34 , NA , NA"
"1980 , 34 , NA , NA"
"1981 , 34 , NA , NA"
"1982 , 34 , NA , NA"
"1983 , 34 , NA , NA"
"1984 , 34 , NA , NA"
"1985 , 34 , NA , NA"
"1986 , 34 , NA , NA"
"1987 , 34 , NA , NA"
"1988 , 34 , NA , NA"
"1989 , 34 , NA , NA"
"1990 , 34 , NA , NA"
"1991 , 34 , NA , NA"
"1992 , 34 , NA , NA"
"1993 , 34 , NA , NA"
"1994 , 34 , NA , NA"
"1995 , 34 , NA , NA"
"1996 , 34 , NA , NA"
"1997 , 34 , NA , NA"
"1998 , 34 , NA , NA"
"1999 , 34 , NA , NA"
"2000 , 34 , NA , NA"
"2001 , 34 , NA , NA"
"2002 , 34 , NA , NA"
"2003 , 34 , NA , NA"
"2004 , 34 , NA , NA"
"2005 , 34 , NA , NA"
"2006 , 34 , NA , NA"
"2007 , 34 , NA , NA"
"2008 , 34 , NA , NA"
"2009 , 34 , NA , NA"
"2010 , 34 , NA , NA"
"2011 , 34 , NA , NA"
"2012 , 34 , NA , NA"
"2013 , 34 , NA , NA"
"2014 , 34 , NA , NA"
"2015 , 34 , NA , NA"
"2016 , 34 , NA , NA"
"1963 , 135 , NA , NA"
"1964 , 135 , NA , NA"
"1965 , 135 , NA , NA"
"1966 , 135 , NA , NA"
"1967 , 135 , NA , NA"
"1968 , 135 , NA , NA"
"1969 , 135 , NA , NA"
"1970 , 135 , NA , NA"
"1971 , 135 , NA , NA"
"1972 , 135 , NA , NA"
"1973 , 135 , NA , NA"
"1974 , 135 , NA , NA"
"1975 , 135 , NA , NA"
"1976 , 135 , NA , NA"
"1977 , 135 , NA , NA"
"1978 , 135 , NA , NA"
"1979 , 135 , NA , NA"
"1980 , 135 , NA , NA"
"1981 , 135 , NA , NA"
"1982 , 135 , NA , NA"
"1983 , 135 , NA , NA"
"1984 , 135 , NA , NA"
"1985 , 135 , NA , NA"
"1986 , 135 , NA , NA"
"1987 , 135 , NA , NA"
"1988 , 135 , NA , NA"
"1989 , 135 , NA , NA"
"1990 , 135 , NA , NA"
"1991 , 135 , NA , NA"
"1992 , 135 , NA , NA"
"1993 , 135 , NA , NA"
"1994 , 135 , NA , NA"
"1995 , 135 , NA , NA"
"1996 , 135 , NA , NA"
"1997 , 135 , NA , NA"
"1998 , 135 , NA , NA"
"1999 , 135 , NA , NA"
"2000 , 135 , NA , NA"
"2001 , 135 , NA , NA"
"2002 , 135 , NA , NA"
"2003 , 135 , NA , NA"
"2004 , 135 , NA , NA"
"2005 , 135 , NA , NA"
"2006 , 135 , NA , NA"
"2007 , 135 , NA , NA"
"2008 , 135 , NA , NA"
"2009 , 135 , NA , NA"
"2010 , 135 , NA , NA"
"2011 , 135 , NA , NA"
"2012 , 135 , NA , NA"
"2013 , 135 , NA , NA"
"2014 , 135 , NA , NA"
"2015 , 135 , NA , NA"
"2016 , 135 , NA , NA"
"1963 , 131 , NA , NA"
"1964 , 131 , NA , NA"
"1965 , 131 , NA , NA"
"1966 , 131 , NA , NA"
"1967 , 131 , NA , NA"
"1968 , 131 , NA , NA"
"1969 , 131 , NA , NA"
"1970 , 131 , NA , NA"
"1971 , 131 , NA , NA"
"1972 , 131 , NA , NA"
"1973 , 131 , NA , NA"
"1974 , 131 , NA , NA"
"1975 , 131 , NA , NA"
"1976 , 131 , NA , NA"
"1977 , 131 , NA , NA"
"1978 , 131 , NA , NA"
"1979 , 131 , NA , NA"
"1980 , 131 , NA , NA"
"1981 , 131 , NA , NA"
"1982 , 131 , NA , NA"
"1983 , 131 , NA , NA"
"1984 , 131 , NA , NA"
"1985 , 131 , NA , NA"
"1986 , 131 , NA , NA"
"1987 , 131 , NA , NA"
"1988 , 131 , NA , NA"
"1989 , 131 , NA , NA"
"1990 , 131 , NA , NA"
"1991 , 131 , NA , NA"
"1992 , 131 , NA , NA"
"1993 , 131 , NA , NA"
"1994 , 131 , NA , NA"
"1995 , 131 , NA , NA"
"1996 , 131 , NA , NA"
"1997 , 131 , NA , NA"
"1998 , 131 , NA , NA"
"1999 , 131 , NA , NA"
"2000 , 131 , NA , NA"
"2001 , 131 , NA , NA"
"2002 , 131 , NA , NA"
"2003 , 131 , NA , NA"
"2004 , 131 , NA , NA"
"2005 , 131 , NA , NA"
"2006 , 131 , NA , NA"
"2007 , 131 , NA , NA"
"2008 , 131 , NA , NA"
"2009 , 131 , NA , NA"
"2010 , 131 , NA , NA"
"2011 , 131 , NA , NA"
"2012 , 131 , NA , NA"
"2013 , 131 , NA , NA"
"2014 , 131 , NA , NA"
"2015 , 131 , NA , NA"
"2016 , 131 , NA , NA"
"1963 , 24 , NA , NA"
"1964 , 24 , NA , NA"
"1965 , 24 , NA , NA"
"1966 , 24 , NA , NA"
"1967 , 24 , NA , NA"
"1968 , 24 , NA , NA"
"1969 , 24 , NA , NA"
"1970 , 24 , NA , NA"
"1971 , 24 , NA , NA"
"1972 , 24 , NA , NA"
"1973 , 24 , NA , NA"
"1974 , 24 , NA , NA"
"1975 , 24 , NA , NA"
"1976 , 24 , NA , NA"
"1977 , 24 , NA , NA"
"1978 , 24 , NA , NA"
"1979 , 24 , NA , NA"
"1980 , 24 , NA , NA"
"1981 , 24 , NA , NA"
"1982 , 24 , NA , NA"
"1983 , 24 , NA , NA"
"1984 , 24 , NA , NA"
"1985 , 24 , NA , NA"
"1986 , 24 , NA , NA"
"1987 , 24 , NA , NA"
"1988 , 24 , NA , NA"
"1989 , 24 , NA , NA"
"1990 , 24 , NA , NA"
"1991 , 24 , NA , NA"
"1992 , 24 , NA , NA"
"1993 , 24 , NA , NA"
"1994 , 24 , NA , NA"
"1995 , 24 , NA , NA"
"1996 , 24 , NA , NA"
"1997 , 24 , NA , NA"
"1998 , 24 , NA , NA"
"1999 , 24 , NA , NA"
"2000 , 24 , NA , NA"
"2001 , 24 , NA , NA"
"2002 , 24 , NA , NA"
"2003 , 24 , NA , NA"
"2004 , 24 , NA , NA"
"2005 , 24 , NA , NA"
"2006 , 24 , NA , NA"
"2007 , 24 , NA , NA"
"2008 , 24 , NA , NA"
"2009 , 24 , NA , NA"
"2010 , 24 , NA , NA"
"2011 , 24 , NA , NA"
"2012 , 24 , NA , NA"
"2013 , 24 , NA , NA"
"2014 , 24 , NA , NA"
"2015 , 24 , NA , NA"
"2016 , 24 , NA , NA"
"1963 , 176 , NA , NA"
"1964 , 176 , NA , NA"
"1965 , 176 , NA , NA"
"1966 , 176 , NA , NA"
"1967 , 176 , NA , NA"
"1968 , 176 , NA , NA"
"1969 , 176 , NA , NA"
"1970 , 176 , NA , NA"
"1971 , 176 , NA , NA"
"1972 , 176 , NA , NA"
"1973 , 176 , NA , NA"
"1974 , 176 , NA , NA"
"1975 , 176 , NA , NA"
"1976 , 176 , NA , NA"
"1977 , 176 , NA , NA"
"1978 , 176 , NA , NA"
"1979 , 176 , NA , NA"
"1980 , 176 , NA , NA"
"1981 , 176 , NA , NA"
"1982 , 176 , NA , NA"
"1983 , 176 , NA , NA"
"1984 , 176 , NA , NA"
"1985 , 176 , NA , NA"
"1986 , 176 , NA , NA"
"1987 , 176 , NA , NA"
"1988 , 176 , NA , NA"
"1989 , 176 , NA , NA"
"1990 , 176 , NA , NA"
"1991 , 176 , NA , NA"
"1992 , 176 , NA , NA"
"1993 , 176 , NA , NA"
"1994 , 176 , NA , NA"
"1995 , 176 , NA , NA"
"1996 , 176 , NA , NA"
"1997 , 176 , NA , NA"
"1998 , 176 , NA , NA"
"1999 , 176 , NA , NA"
"2000 , 176 , NA , NA"
"2001 , 176 , NA , NA"
"2002 , 176 , NA , NA"
"2003 , 176 , NA , NA"
"2004 , 176 , NA , NA"
"2005 , 176 , NA , NA"
"2006 , 176 , NA , NA"
"2007 , 176 , NA , NA"
"2008 , 176 , NA , NA"
"2009 , 176 , NA , NA"
"2010 , 176 , NA , NA"
"2011 , 176 , NA , NA"
"2012 , 176 , NA , NA"
"2013 , 176 , NA , NA"
"2014 , 176 , NA , NA"
"2015 , 176 , NA , NA"
"2016 , 176 , NA , NA"
"1963 , 84 , NA , NA"
"1964 , 84 , NA , NA"
"1965 , 84 , NA , NA"
"1966 , 84 , NA , NA"
"1967 , 84 , NA , NA"
"1968 , 84 , NA , NA"
"1969 , 84 , NA , NA"
"1970 , 84 , NA , NA"
"1971 , 84 , NA , NA"
"1972 , 84 , NA , NA"
